"Anno";"Mes";"Nombre";"Gasto"
2018;11;"Morales, Cristian";1001645,63727705
2019;11;"Morales, Cristian";1002524,15149694
2020;11;"Morales, Cristian";1003015,15352045
2021;11;"Morales, Cristian";1000145,56412372
2017;12;"Morales, Cristian";1000964,61188561
2018;12;"Morales, Cristian";1000768,24539366
2019;12;"Morales, Cristian";1052980,97323388
2020;12;"Morales, Cristian";1000306,69943747
2021;12;"Morales, Cristian";1002664,51312072
2017;1;"Escalante-Ibarra, Madeline";1000600,24117543
2018;1;"Escalante-Ibarra, Madeline";1002757,33674015
2019;1;"Escalante-Ibarra, Madeline";1003726,44960231
2020;1;"Escalante-Ibarra, Madeline";1001036,65228793
2021;1;"Escalante-Ibarra, Madeline";1000739,28293791
2017;2;"Escalante-Ibarra, Madeline";1002078,23414102
2018;2;"Escalante-Ibarra, Madeline";1002705,85857217
2019;2;"Escalante-Ibarra, Madeline";1003643,07567206
2020;2;"Escalante-Ibarra, Madeline";1000241,71925003
2021;2;"Escalante-Ibarra, Madeline";1000433,42349891
2017;3;"Escalante-Ibarra, Madeline";1000840,29445963
2018;3;"Escalante-Ibarra, Madeline";1001529,87670691
2019;3;"Escalante-Ibarra, Madeline";1000892,29070808
2020;3;"Escalante-Ibarra, Madeline";1000657,03512196
2021;3;"Escalante-Ibarra, Madeline";1001387,52211206
2017;4;"Escalante-Ibarra, Madeline";1000466,4776722
2018;4;"Escalante-Ibarra, Madeline";1000694,85239129
2019;4;"Escalante-Ibarra, Madeline";1000534,51892218
2020;4;"Escalante-Ibarra, Madeline";1001370,35373302
2021;4;"Escalante-Ibarra, Madeline";1004723,83549803
2017;5;"Escalante-Ibarra, Madeline";1000249,75719358
2018;5;"Escalante-Ibarra, Madeline";1000713,11883905
2019;5;"Escalante-Ibarra, Madeline";1001301,21121018
2020;5;"Escalante-Ibarra, Madeline";1003330,09343604
2021;5;"Escalante-Ibarra, Madeline";1001620,45243823
2017;6;"Escalante-Ibarra, Madeline";1000796,51837422
2018;6;"Escalante-Ibarra, Madeline";1000347,56815456
2019;6;"Escalante-Ibarra, Madeline";1001917,86447184
2020;6;"Escalante-Ibarra, Madeline";1001865,28451294
2021;6;"Escalante-Ibarra, Madeline";1000305,57700224
2017;7;"Escalante-Ibarra, Madeline";1000089,23434863
2018;7;"Escalante-Ibarra, Madeline";1000172,11699232
2019;7;"Escalante-Ibarra, Madeline";1000550,71870802
2020;7;"Escalante-Ibarra, Madeline";1002835,5467676
2021;7;"Escalante-Ibarra, Madeline";1000193,64843662
2017;8;"Escalante-Ibarra, Madeline";1000862,06862315
2018;8;"Escalante-Ibarra, Madeline";1001037,00305604
2019;8;"Escalante-Ibarra, Madeline";1002044,18766364
2020;8;"Escalante-Ibarra, Madeline";1000797,91117684
2021;8;"Escalante-Ibarra, Madeline";1000544,16502183
2017;9;"Escalante-Ibarra, Madeline";1001779,71577457
2018;9;"Escalante-Ibarra, Madeline";2019892,95346609
2019;9;"Escalante-Ibarra, Madeline";1000571,78760804
2020;9;"Escalante-Ibarra, Madeline";1000987,82917379
2021;9;"Escalante-Ibarra, Madeline";1000526,97275711
2017;10;"Escalante-Ibarra, Madeline";1002772,80975423
2018;10;"Escalante-Ibarra, Madeline";1000187,04976815
2019;10;"Escalante-Ibarra, Madeline";1002027,04301006
2020;10;"Escalante-Ibarra, Madeline";1120746,41424284
2021;10;"Escalante-Ibarra, Madeline";1000812,6558987
2017;11;"Escalante-Ibarra, Madeline";1000421,88732407
2018;11;"Escalante-Ibarra, Madeline";1001635,71885013
2019;11;"Escalante-Ibarra, Madeline";1005087,5144013
2020;11;"Escalante-Ibarra, Madeline";1002299,04722857
2021;11;"Escalante-Ibarra, Madeline";1000740,34688832
2017;12;"Escalante-Ibarra, Madeline";1001347,80673858
2018;12;"Escalante-Ibarra, Madeline";1001984,56329025
2019;12;"Escalante-Ibarra, Madeline";1005486,74027805
2020;12;"Escalante-Ibarra, Madeline";1008345,9922972
2021;12;"Escalante-Ibarra, Madeline";1002650,66205912
2017;1;"Matamoros, Nanette";1000544,06789804
2018;1;"Matamoros, Nanette";1014141,8556592
2019;1;"Matamoros, Nanette";1001981,04989673
2020;1;"Matamoros, Nanette";1000098,94503813
2021;1;"Matamoros, Nanette";1001558,44999633
2017;2;"Matamoros, Nanette";1001752,87127923
2018;2;"Matamoros, Nanette";1000497,760296
2019;2;"Matamoros, Nanette";1002749,38077476
2020;2;"Matamoros, Nanette";1003965,61863488
2021;2;"Matamoros, Nanette";1008900,99966884
2017;3;"Matamoros, Nanette";1001064,10723201
2018;3;"Matamoros, Nanette";1000982,92010539
2019;3;"Matamoros, Nanette";1002645,15230141
2020;3;"Matamoros, Nanette";1002453,1108862
2021;3;"Matamoros, Nanette";1000117,13779139
2017;4;"Matamoros, Nanette";1000533,24544083
2018;4;"Matamoros, Nanette";1000561,63339857
2019;4;"Matamoros, Nanette";1004133,65492607
2020;4;"Matamoros, Nanette";1000938,6452767
2021;4;"Matamoros, Nanette";1000834,43984176
2017;5;"Matamoros, Nanette";1010641,48658288
2018;5;"Matamoros, Nanette";1000346,99891091
2019;5;"Matamoros, Nanette";1000189,78475452
2020;5;"Matamoros, Nanette";1002846,20724147
2021;5;"Matamoros, Nanette";1000364,77526079
2017;6;"Matamoros, Nanette";1001914,98662919
2018;6;"Matamoros, Nanette";1001271,07471413
2019;6;"Matamoros, Nanette";1000611,47426799
2020;6;"Matamoros, Nanette";1009890,29680334
2021;6;"Matamoros, Nanette";1000411,66549911
2017;7;"Matamoros, Nanette";1003407,84661086
2018;7;"Matamoros, Nanette";1001502,49749258
2019;7;"Matamoros, Nanette";1000567,3861721
2020;7;"Matamoros, Nanette";1000374,95756111
2021;7;"Matamoros, Nanette";1002541,3433548
2017;8;"Matamoros, Nanette";1057762,32586153
2018;8;"Matamoros, Nanette";1006948,71947093
2019;8;"Matamoros, Nanette";1357571,04794483
2020;8;"Matamoros, Nanette";1009404,5754231
2021;8;"Matamoros, Nanette";1001086,305919
2017;9;"Matamoros, Nanette";1001814,090174
2018;9;"Matamoros, Nanette";1000363,00248278
2019;9;"Matamoros, Nanette";1004909,01913559
2020;9;"Matamoros, Nanette";1000297,47451397
2021;9;"Matamoros, Nanette";1000219,69766005
2017;10;"Matamoros, Nanette";1000705,46656741
2018;10;"Matamoros, Nanette";1004407,63889158
2019;10;"Matamoros, Nanette";1000481,10130213
2020;10;"Matamoros, Nanette";1003050,57782533
2021;10;"Matamoros, Nanette";1001011,40439575
2017;11;"Matamoros, Nanette";1000160,61774529
2018;11;"Matamoros, Nanette";1002057,126127
2019;11;"Matamoros, Nanette";1067768,65571069
2020;11;"Matamoros, Nanette";1009196,4629838
2021;11;"Matamoros, Nanette";1190148,12710673
2017;12;"Matamoros, Nanette";1000254,08933435
2018;12;"Matamoros, Nanette";1000301,86599429
2019;12;"Matamoros, Nanette";1001818,33120807
2020;12;"Matamoros, Nanette";1002447,91544498
2021;12;"Matamoros, Nanette";1001655,59006436
2017;1;"Avila, Augustine";1001975,47965892
2018;1;"Avila, Augustine";1000737,68423712
2019;1;"Avila, Augustine";1000626,14349098
2020;1;"Avila, Augustine";1014558,1041914
2021;1;"Avila, Augustine";1054382,28444461
2017;2;"Avila, Augustine";1000782,91979045
2018;2;"Avila, Augustine";1000258,31519524
2019;2;"Avila, Augustine";1001065,44914953
2020;2;"Avila, Augustine";1000501,63762595
2021;2;"Avila, Augustine";1009128,33712429
2017;3;"Avila, Augustine";1000789,28719425
2018;3;"Avila, Augustine";1000188,95153389
2019;3;"Avila, Augustine";1001110,20633046
2020;3;"Avila, Augustine";1000151,50062554
2021;3;"Avila, Augustine";1009273,28907168
2017;4;"Avila, Augustine";1003864,0844354
2018;4;"Avila, Augustine";1005869,96434216
2019;4;"Avila, Augustine";1001497,81927041
2020;4;"Avila, Augustine";1001968,08794152
2021;4;"Avila, Augustine";1000959,73708193
2017;5;"Avila, Augustine";1002834,03757799
2018;5;"Avila, Augustine";1004245,20010039
2019;5;"Avila, Augustine";1005827,74334189
2020;5;"Avila, Augustine";1001080,05296348
2021;5;"Avila, Augustine";1001172,28406255
2017;6;"Avila, Augustine";1000332,67790401
2018;6;"Avila, Augustine";1000318,67386524
2019;6;"Avila, Augustine";1000669,30974591
2020;6;"Avila, Augustine";1000941,24240009
2021;6;"Avila, Augustine";1005945,31045236
2017;7;"Avila, Augustine";1001103,33426852
2018;7;"Avila, Augustine";1002499,09645171
2019;7;"Avila, Augustine";1019729,71030878
2020;7;"Avila, Augustine";1001676,72760586
2021;7;"Avila, Augustine";1000610,93576014
2017;8;"Avila, Augustine";1000857,32060969
2018;8;"Avila, Augustine";1004204,96099548
2019;8;"Avila, Augustine";1002026,55864814
2020;8;"Avila, Augustine";1033198,3512002
2021;8;"Avila, Augustine";1002739,83879807
2017;9;"Avila, Augustine";1000224,38557721
2018;9;"Avila, Augustine";1000456,78706014
2019;9;"Avila, Augustine";1000396,7528898
2020;9;"Avila, Augustine";1000219,63094096
2021;9;"Avila, Augustine";1005263,08807123
2017;10;"Avila, Augustine";1000596,66766075
2018;10;"Avila, Augustine";1000434,6375806
2019;10;"Avila, Augustine";1000751,50218854
2020;10;"Avila, Augustine";1003242,39806716
2021;10;"Avila, Augustine";1000279,97919066
2017;11;"Avila, Augustine";1001290,57759762
2018;11;"Avila, Augustine";1000547,2329803
2019;11;"Avila, Augustine";1000408,25074027
2020;11;"Avila, Augustine";1000376,28571023
2021;11;"Avila, Augustine";1002873,02358048
2017;12;"Avila, Augustine";1027335,32796519
2018;12;"Avila, Augustine";1008704,31450809
2019;12;"Avila, Augustine";1000347,94129456
2020;12;"Avila, Augustine";1000628,0007871
2021;12;"Avila, Augustine";1001005,14879958
2017;1;"Negrete, Hazael";1000292,36408799
2018;1;"Negrete, Hazael";1004054,87145067
2019;1;"Negrete, Hazael";1013728,03750311
2020;1;"Negrete, Hazael";1030954,89316379
2021;1;"Negrete, Hazael";1001124,24855297
2017;2;"Negrete, Hazael";1000247,47346375
2018;2;"Negrete, Hazael";1000714,33117972
2019;2;"Negrete, Hazael";1000464,36204586
2020;2;"Negrete, Hazael";1003731,34365546
2021;2;"Negrete, Hazael";1000892,23557001
2017;3;"Negrete, Hazael";1006187,24777063
2018;3;"Negrete, Hazael";1015555,91432668
2019;3;"Negrete, Hazael";1002016,11806002
2020;3;"Negrete, Hazael";1001703,81022588
2021;3;"Negrete, Hazael";1005721,34883559
2017;4;"Negrete, Hazael";1003497,91238152
2018;4;"Negrete, Hazael";1001420,56600899
2019;4;"Negrete, Hazael";1000522,93073632
2020;4;"Negrete, Hazael";1007790,44321434
2021;4;"Negrete, Hazael";1001001,56195501
2017;5;"Negrete, Hazael";1001409,78684576
2018;5;"Negrete, Hazael";1000361,3156201
2019;5;"Negrete, Hazael";1004638,66205122
2020;5;"Negrete, Hazael";1004709,88164807
2021;5;"Negrete, Hazael";1001575,49590992
2017;6;"Negrete, Hazael";1002870,40102233
2018;6;"Negrete, Hazael";1007381,75561248
2019;6;"Negrete, Hazael";1000324,29011407
2020;6;"Negrete, Hazael";1001898,21573101
2021;6;"Negrete, Hazael";1002719,4384024
2017;7;"Negrete, Hazael";1000946,2048001
2018;7;"Negrete, Hazael";1009856,95157765
2019;7;"Negrete, Hazael";1000486,03041254
2020;7;"Negrete, Hazael";1005613,40976558
2021;7;"Negrete, Hazael";1000488,83421111
2017;8;"Negrete, Hazael";1001037,53318459
2018;8;"Negrete, Hazael";1002158,993953
2019;8;"Negrete, Hazael";1003434,83348429
2020;8;"Negrete, Hazael";1003207,08957245
2021;8;"Negrete, Hazael";1001327,70431571
2017;9;"Negrete, Hazael";1000941,77874628
2018;9;"Negrete, Hazael";1000695,01992407
2019;9;"Negrete, Hazael";1000153,02551841
2020;9;"Negrete, Hazael";1000511,51214429
2021;9;"Negrete, Hazael";1000294,45152847
2017;10;"Negrete, Hazael";1005602,11077479
2018;10;"Negrete, Hazael";1001447,7408788
2019;10;"Negrete, Hazael";1008200,36308529
2020;10;"Negrete, Hazael";1107949,00365355
2021;10;"Negrete, Hazael";1006609,0401294
2017;11;"Negrete, Hazael";1003221,70096242
2018;11;"Negrete, Hazael";1000358,61225316
2019;11;"Negrete, Hazael";1002143,43850798
2020;11;"Negrete, Hazael";1001213,14946029
2021;11;"Negrete, Hazael";1000567,67756175
2017;12;"Negrete, Hazael";1007210,62857496
2018;12;"Negrete, Hazael";1000719,73684636
2019;12;"Negrete, Hazael";1000775,52111352
2020;12;"Negrete, Hazael";1004439,49283101
2021;12;"Negrete, Hazael";1001269,63558193
2017;1;"Gutierrez, Gabriela";1003719,58899579
2018;1;"Gutierrez, Gabriela";1007484,07997067
2019;1;"Gutierrez, Gabriela";1001191,06670188
2020;1;"Gutierrez, Gabriela";1000607,142199
2021;1;"Gutierrez, Gabriela";1000848,01556014
2017;2;"Gutierrez, Gabriela";1000400,5360562
2018;2;"Gutierrez, Gabriela";1001207,20875615
2019;2;"Gutierrez, Gabriela";1000793,97348705
2020;2;"Gutierrez, Gabriela";1001563,32792762
2021;2;"Gutierrez, Gabriela";1003761,37023771
2017;3;"Gutierrez, Gabriela";1000848,97516217
2018;3;"Gutierrez, Gabriela";1001099,43838502
2019;3;"Gutierrez, Gabriela";1000639,31364826
2020;3;"Gutierrez, Gabriela";1013329,80153548
2021;3;"Gutierrez, Gabriela";1000410,85036148
2017;4;"Gutierrez, Gabriela";1038301,25884905
2018;4;"Gutierrez, Gabriela";1000813,36169059
2019;4;"Gutierrez, Gabriela";1001609,05317864
2020;4;"Gutierrez, Gabriela";1002392,17706016
2021;4;"Gutierrez, Gabriela";1001346,59751313
2017;5;"Gutierrez, Gabriela";1000878,53026412
2018;5;"Gutierrez, Gabriela";1001471,83435188
2019;5;"Gutierrez, Gabriela";1003549,16936082
2020;5;"Gutierrez, Gabriela";1141702,29258
2021;5;"Gutierrez, Gabriela";1005588,51902827
2017;6;"Gutierrez, Gabriela";1000667,87193191
2018;6;"Gutierrez, Gabriela";1003102,89325522
2019;6;"Gutierrez, Gabriela";1001747,42097645
2020;6;"Gutierrez, Gabriela";1005621,65013632
2021;6;"Gutierrez, Gabriela";1000176,21493053
2017;7;"Gutierrez, Gabriela";1001121,85310262
2018;7;"Gutierrez, Gabriela";1000676,68094496
2019;7;"Gutierrez, Gabriela";1000401,67409955
2020;7;"Gutierrez, Gabriela";1000365,81741918
2021;7;"Gutierrez, Gabriela";1000246,35439609
2017;8;"Gutierrez, Gabriela";1000599,54758101
2018;8;"Gutierrez, Gabriela";1002766,26865764
2019;8;"Gutierrez, Gabriela";1000932,60841605
2020;8;"Gutierrez, Gabriela";1007594,56066061
2021;8;"Gutierrez, Gabriela";1008066,159952
2017;9;"Gutierrez, Gabriela";1003301,36354491
2018;9;"Gutierrez, Gabriela";1012343,24402049
2019;9;"Gutierrez, Gabriela";1000460,85871227
2020;9;"Gutierrez, Gabriela";1000325,41988951
2021;9;"Gutierrez, Gabriela";1016484,20147296
2017;10;"Gutierrez, Gabriela";1000884,29919246
2018;10;"Gutierrez, Gabriela";1000257,36599005
2019;10;"Gutierrez, Gabriela";1001454,83949352
2020;10;"Gutierrez, Gabriela";1000154,80015504
2021;10;"Gutierrez, Gabriela";1000418,47339132
2017;11;"Gutierrez, Gabriela";1000650,88139694
2018;11;"Gutierrez, Gabriela";1000734,95432285
2019;11;"Gutierrez, Gabriela";1000406,11974801
2020;11;"Gutierrez, Gabriela";1004036,64120532
2021;11;"Gutierrez, Gabriela";1001594,1561905
2017;12;"Gutierrez, Gabriela";1000195,26054783
2018;12;"Gutierrez, Gabriela";1002114,1267186
2019;12;"Gutierrez, Gabriela";1000840,81627329
2020;12;"Gutierrez, Gabriela";1003682,60031349
2021;12;"Gutierrez, Gabriela";1001586,06313275
2017;1;"Mata-Lovato, Erika";1000293,02593393
2018;1;"Mata-Lovato, Erika";1001620,13270725
2019;1;"Mata-Lovato, Erika";1070101,5260772
2020;1;"Mata-Lovato, Erika";1002171,27640744
2021;1;"Mata-Lovato, Erika";1003773,23393055
2017;2;"Mata-Lovato, Erika";1000563,30552493
2018;2;"Mata-Lovato, Erika";1001363,36387423
2019;2;"Mata-Lovato, Erika";1003858,80153427
2020;2;"Mata-Lovato, Erika";1000300,00749651
2021;2;"Mata-Lovato, Erika";1001153,28854267
2017;3;"Mata-Lovato, Erika";1000557,17021927
2018;3;"Mata-Lovato, Erika";1000881,49768245
2019;3;"Mata-Lovato, Erika";1000992,33595054
2020;3;"Mata-Lovato, Erika";1000969,17155069
2021;3;"Mata-Lovato, Erika";1000756,19548902
2017;4;"Mata-Lovato, Erika";1024622,13458623
2018;4;"Mata-Lovato, Erika";1000629,71676474
2019;4;"Mata-Lovato, Erika";1000801,98575384
2020;4;"Mata-Lovato, Erika";1001544,08692104
2021;4;"Mata-Lovato, Erika";1000366,84757034
2017;5;"Mata-Lovato, Erika";1000195,16666259
2018;5;"Mata-Lovato, Erika";1001645,40942953
2019;5;"Mata-Lovato, Erika";1000509,41950149
2020;5;"Mata-Lovato, Erika";1001106,31896677
2021;5;"Mata-Lovato, Erika";1003501,2826814
2017;6;"Mata-Lovato, Erika";1006480,03889496
2018;6;"Mata-Lovato, Erika";1000667,7980973
2019;6;"Mata-Lovato, Erika";1000462,49339247
2020;6;"Mata-Lovato, Erika";1000436,74028424
2021;6;"Mata-Lovato, Erika";1000145,89381336
2017;7;"Mata-Lovato, Erika";1001832,70295105
2018;7;"Mata-Lovato, Erika";1000267,49157384
2019;7;"Mata-Lovato, Erika";1001309,18733369
2020;7;"Mata-Lovato, Erika";1000400,92141168
2021;7;"Mata-Lovato, Erika";1002749,24989517
2017;8;"Mata-Lovato, Erika";1000823,54409193
2018;8;"Mata-Lovato, Erika";1001196,41935683
2019;8;"Mata-Lovato, Erika";1002240,46850403
2020;8;"Mata-Lovato, Erika";1032240,94157458
2021;8;"Mata-Lovato, Erika";1006494,18821376
2017;9;"Mata-Lovato, Erika";1000373,85780118
2018;9;"Mata-Lovato, Erika";1001844,20672514
2019;9;"Mata-Lovato, Erika";1000336,81024343
2020;9;"Mata-Lovato, Erika";1000317,64463419
2021;9;"Mata-Lovato, Erika";1000349,52763676
2017;10;"Mata-Lovato, Erika";1003573,9213522
2018;10;"Mata-Lovato, Erika";1008845,69225077
2019;10;"Mata-Lovato, Erika";1002061,83723564
2020;10;"Mata-Lovato, Erika";1000753,62714642
2021;10;"Mata-Lovato, Erika";1003846,43739105
2017;11;"Mata-Lovato, Erika";1005635,11363051
2018;11;"Mata-Lovato, Erika";1013407,84862468
2019;11;"Mata-Lovato, Erika";1000792,77502724
2020;11;"Mata-Lovato, Erika";1001326,7890657
2021;11;"Mata-Lovato, Erika";1074644,34599713
2017;12;"Mata-Lovato, Erika";1000936,40926565
2018;12;"Mata-Lovato, Erika";1000239,21874601
2019;12;"Mata-Lovato, Erika";1000377,10654627
2020;12;"Mata-Lovato, Erika";1000890,7649381
2021;12;"Mata-Lovato, Erika";1000888,64295494
2017;1;"Almanza, Sevina";1006340,13096541
2018;1;"Almanza, Sevina";1000715,14074515
2019;1;"Almanza, Sevina";1008324,60772402
2020;1;"Almanza, Sevina";1005685,81741627
2021;1;"Almanza, Sevina";1002250,16088135
2017;2;"Almanza, Sevina";1000496,52621253
2018;2;"Almanza, Sevina";1000555,03581976
2019;2;"Almanza, Sevina";1024638,9292221
2020;2;"Almanza, Sevina";1022679,86712104
2021;2;"Almanza, Sevina";1005059,62702053
2017;3;"Almanza, Sevina";1000571,56029598
2018;3;"Almanza, Sevina";1001735,99593252
2019;3;"Almanza, Sevina";1007828,92250825
2020;3;"Almanza, Sevina";1000446,79153079
2021;3;"Almanza, Sevina";1000187,35229229
2017;4;"Almanza, Sevina";1009343,76979153
2018;4;"Almanza, Sevina";1001279,18823023
2019;4;"Almanza, Sevina";1001663,91055354
2020;4;"Almanza, Sevina";1001183,902547
2021;4;"Almanza, Sevina";1001994,93641012
2017;5;"Almanza, Sevina";1000673,79660986
2018;5;"Almanza, Sevina";1071256,02826083
2019;5;"Almanza, Sevina";1000323,46721409
2020;5;"Almanza, Sevina";1000287,01514582
2021;5;"Almanza, Sevina";1001383,02271835
2017;6;"Almanza, Sevina";1001277,08425943
2018;6;"Almanza, Sevina";1000619,36437233
2019;6;"Almanza, Sevina";1002047,03797052
2020;6;"Almanza, Sevina";1002752,52999499
2021;6;"Almanza, Sevina";1000176,9068544
2017;7;"Almanza, Sevina";1010526,03602302
2018;7;"Almanza, Sevina";1004464,51245396
2019;7;"Almanza, Sevina";1001671,37566252
2020;7;"Almanza, Sevina";1000849,93503302
2021;7;"Almanza, Sevina";1000341,23132517
2017;8;"Almanza, Sevina";1000598,17108102
2018;8;"Almanza, Sevina";1006501,42093237
2019;8;"Almanza, Sevina";1000642,40834889
2020;8;"Almanza, Sevina";1005287,74156276
2021;8;"Almanza, Sevina";1000486,81030961
2017;9;"Almanza, Sevina";1000886,83485317
2018;9;"Almanza, Sevina";1011554,39961205
2019;9;"Almanza, Sevina";1002903,38062046
2020;9;"Almanza, Sevina";1000377,21735531
2021;9;"Almanza, Sevina";1000687,02268984
2017;10;"Almanza, Sevina";1000271,21826985
2018;10;"Almanza, Sevina";1093236,56480631
2019;10;"Almanza, Sevina";1000183,91952611
2020;10;"Almanza, Sevina";1002521,17353914
2021;10;"Almanza, Sevina";1000427,26509487
2017;11;"Almanza, Sevina";1000620,28657292
2018;11;"Almanza, Sevina";1043383,29449728
2019;11;"Almanza, Sevina";1002592,01216809
2020;11;"Almanza, Sevina";1004007,90221396
2021;11;"Almanza, Sevina";1001245,26205022
2017;12;"Almanza, Sevina";1287895,84699317
2018;12;"Almanza, Sevina";1000649,92024327
2019;12;"Almanza, Sevina";1010526,89787613
2020;12;"Almanza, Sevina";1001416,50124009
2021;12;"Almanza, Sevina";1000703,72709061
2017;1;"Vidmar, Marissa";1000148,61335816
2018;1;"Vidmar, Marissa";1001984,30110653
2019;1;"Vidmar, Marissa";1012058,56754777
2020;1;"Vidmar, Marissa";1009380,35974095
2021;1;"Vidmar, Marissa";1011481,30122483
2017;2;"Vidmar, Marissa";1002203,34791018
2018;2;"Vidmar, Marissa";1001408,70993774
2019;2;"Vidmar, Marissa";1003259,98681464
2020;2;"Vidmar, Marissa";1000991,13099233
2021;2;"Vidmar, Marissa";1006266,15964319
2017;3;"Vidmar, Marissa";1020259,60167217
2018;3;"Vidmar, Marissa";1008636,17961004
2019;3;"Vidmar, Marissa";1000614,24512973
2020;3;"Vidmar, Marissa";1002401,97648539
2021;3;"Vidmar, Marissa";1000533,47021402
2017;4;"Vidmar, Marissa";1000992,40547667
2018;4;"Vidmar, Marissa";1000563,05666814
2019;4;"Vidmar, Marissa";1000542,06241899
2020;4;"Vidmar, Marissa";1000724,6651862
2021;4;"Vidmar, Marissa";1000423,26034456
2017;5;"Vidmar, Marissa";1000306,9984978
2018;5;"Vidmar, Marissa";1019798,10124082
2019;5;"Vidmar, Marissa";1012007,82937843
2020;5;"Vidmar, Marissa";1001815,63600966
2021;5;"Vidmar, Marissa";1001965,16527039
2017;6;"Vidmar, Marissa";1010812,18405803
2018;6;"Vidmar, Marissa";1000378,07203865
2019;6;"Vidmar, Marissa";1000253,65159407
2020;6;"Vidmar, Marissa";1008016,07954172
2021;6;"Vidmar, Marissa";1006574,49797389
2017;7;"Vidmar, Marissa";1000792,52857258
2018;7;"Vidmar, Marissa";1002492,11181517
2019;7;"Vidmar, Marissa";1001921,52253501
2020;7;"Vidmar, Marissa";1006625,49083103
2021;7;"Vidmar, Marissa";1000405,9413868
2017;8;"Vidmar, Marissa";1001386,67300292
2018;8;"Vidmar, Marissa";1001278,51707438
2019;8;"Vidmar, Marissa";1000515,53964324
2020;8;"Vidmar, Marissa";1001874,48817808
2021;8;"Vidmar, Marissa";1000422,86403728
2017;9;"Vidmar, Marissa";1001156,10564266
2018;9;"Vidmar, Marissa";1002087,39385274
2019;9;"Vidmar, Marissa";1001402,1379247
2020;9;"Vidmar, Marissa";1000288,96786995
2021;9;"Vidmar, Marissa";1000873,77710819
2017;10;"Vidmar, Marissa";1068046,1227445
2018;10;"Vidmar, Marissa";1002442,41552441
2019;10;"Vidmar, Marissa";1005922,67518041
2020;10;"Vidmar, Marissa";1007762,36704545
2021;10;"Vidmar, Marissa";1000146,11506867
2017;11;"Vidmar, Marissa";1007991,30058168
2018;11;"Vidmar, Marissa";1000337,78358689
2019;11;"Vidmar, Marissa";1000298,55276548
2020;11;"Vidmar, Marissa";1000206,41526296
2021;11;"Vidmar, Marissa";1022337,64427804
2017;12;"Vidmar, Marissa";1000515,66243751
2018;12;"Vidmar, Marissa";1000851,10990924
2019;12;"Vidmar, Marissa";1000296,71689478
2020;12;"Vidmar, Marissa";1000431,84464327
2021;12;"Vidmar, Marissa";1004589,3515211
2017;1;"Ibarra, Enrique";1000317,18685885
2018;1;"Ibarra, Enrique";1000725,22200292
2019;1;"Ibarra, Enrique";1001768,61939608
2020;1;"Ibarra, Enrique";1001152,61027164
2021;1;"Ibarra, Enrique";1000660,06791388
2017;2;"Ibarra, Enrique";1000451,6458805
2018;2;"Ibarra, Enrique";1011520,05647488
2019;2;"Ibarra, Enrique";1002729,42811568
2020;2;"Ibarra, Enrique";1002110,02130929
2021;2;"Ibarra, Enrique";1001415,45652767
2017;3;"Ibarra, Enrique";1001624,38904918
